feature,importance
A_hydrophobic_fraction,0.026749999999999996
2mer_cosine,0.01749999999999998
3mer_cosine,0.016250000000000007
A_core_hydrophobic_proxy,0.012750000000000011
3mer_l1_distance,0.009750000000000002
B_molecular_weight,0.00799999999999998
2mer_l1_distance,0.007000000000000006
hydrophobicity_product,0.006000000000000005
A_sheet_propensity,0.005500000000000005
evolutionary_low_complexity_absdiff,0.005249999999999991
molecular_weight_product,0.0049999999999999975
aac_absdiff_G,0.004250000000000004
B_helix_propensity,0.00399999999999999
structural_disorder_propensity_absdiff,0.0037500000000000033
B_hydrophobic_fraction,0.0037500000000000033
B_low_complexity,0.0037500000000000033
B_length,0.0037499999999999895
structural_sheet_propensity_absdiff,0.003250000000000003
B_core_hydrophobic_proxy,0.003250000000000003
A_aac_L,0.0030000000000000027
B_isoelectric_point,0.0027500000000000024
A_aac_R,0.0027500000000000024
B_disorder_propensity,0.0025000000000000022
A_helix_propensity,0.0024999999999999953
B_hydrophobicity,0.002250000000000002
structural_disorder_propensity_product,0.002250000000000002
A_charge_proxy,0.002250000000000002
A_hydrophobicity,0.002250000000000002
isoelectric_point_product,0.001999999999999995
A_isoelectric_point,0.001999999999999995
A_aac_G,0.0015000000000000013
B_polarity_fraction,0.0015000000000000013
B_sheet_propensity,0.0012500000000000011
B_surface_polar_proxy,0.0012500000000000011
A_molecular_weight,0.0012500000000000011
length_product,0.0010000000000000009
hydrophobicity_absdiff,0.0007500000000000007
length_absdiff,0.0007500000000000007
A_disorder_propensity,0.0007500000000000007
structural_helix_propensity_absdiff,0.0005000000000000004
molecular_weight_absdiff,0.0005000000000000004
structural_helix_propensity_product,0.0005000000000000004
isoelectric_point_absdiff,0.0002500000000000002
A_length,0.0
A_low_complexity,0.0
